transaction_id,url,name,type,postal_district,subzone,planning_area,date_of_sale,area_sqft,floor_level,eco_category,price
82953057,https://condo-sg.com/treasure-at-tampines-5009,treasure at tampines,condominium,18,tampines east,tampines,jul-19,818,06 to 10,A,1024000
17139360,https://condo-sg.com/parc-central-residences-4954,parc central residences,executive condominium,18,tampines west,tampines,apr-21,990,11 to 15,A,1187000
22288515,,martina mansions,apartment,10,nassim,tanglin,jan-20,1259,01 to 05,A,2300000
80737365,https://condo-sg.com/the-pier-at-robertson-1701,the pier at robertson,apartment,9,robertson quay,singapore river,jun-19,1044,06 to 10,A,2400000
83154310,https://condo-sg.com/rivercove-residences-1525,rivercove residences,executive condominium,19,anchorvale,sengkang,oct-18,1184,16 to 20,A,1239100
83357871,https://condo-sg.com/oue-twin-peaks-7425,oue twin peaks,condominium,9,leonie hill,river valley,mar-17,570,21 to 25,A,1855800
98774323,https://condo-sg.com/gem-residences-4789,gem residences,condominium,12,boon teck,toa payoh,jul-21,1249,06 to 10,A,2015000
66259560,https://condo-sg.com/wilshire-residences-9956,wilshire residences,apartment,10,tyersall,tanglin,jun-21,1270,11 to 15,A,3448000
25459983,https://condo-sg.com/rv-altitude-3083,rv altitude,apartment,9,leonie hill,river valley,dec-20,603,01 to 05,A,1672000
90802666,https://condo-sg.com/parc-centros-9358,parc centros,condominium,19,matilda,punggol,jul-21,990,11 to 15,A,1200000
98176896,https://condo-sg.com/sol-acres-5198,sol acres,executive condominium,23,keat hong,choa chu kang,aug-17,495,11 to 15,A,402000
14988136,https://condo-sg.com/park-colonial-5289,park colonial,condominium,13,woodleigh,toa payoh,jul-19,678,06 to 10,A,1355000
75020289,https://condo-sg.com/duo-residences-6031,duo residences,apartment,7,bugis,downtown core,apr-19,420,06 to 10,A,1060000
19030474,https://condo-sg.com/parc-esta-2882,parc esta,apartment,14,geylang east,geylang,jun-19,926,06 to 10,A,1468000
90564176,https://condo-sg.com/gramercy-park-2023,gramercy park,condominium,10,chatsworth,tanglin,jul-17,2207,11 to 15,A,6311760
79041790,https://condo-sg.com/canninghill-piers-5332,canninghill piers,apartment,6,clarke quay,singapore river,nov-21,538,01 to 05,A,1472000
77753998,https://condo-sg.com/jervois-regency-3131,jervois regency,apartment,10,chatsworth,tanglin,sep-20,980,01 to 05,A,1520000
24785179,https://condo-sg.com/southbank-8535,southbank,apartment,7,crawford,kallang,feb-20,614,16 to 20,A,998000
93887548,https://condo-sg.com/isuites-@-palm-2954,isuites @ palm,apartment,19,kovan,hougang,mar-17,463,01 to 05,A,602888
29559226,https://condo-sg.com/riviera-residences-7259,riviera residences,condominium,16,bedok south,bedok,feb-17,1324,01 to 05,A,1400000
93814079,https://condo-sg.com/normanton-park-8971,normanton park,apartment,5,kent ridge,queenstown,jan-21,764,06 to 10,A,1293376
57022907,https://condo-sg.com/forest-woods-6694,forest woods,condominium,19,upper paya lebar,serangoon,feb-21,915,01 to 05,A,1450000
