transaction_id,url,name,type,postal_district,subzone,planning_area,date_of_sale,area_sqft,floor_level,eco_category,price
95103981,http://condo-sg.com/alex-residences-3570,alex residences,apartment,3,redhill,bukit merah,oct-21,883,01 to 05,A,1595880.0
69374014,http://condo-sg.com/the-rivervale-4160,the rivervale,executive condominium,19,rivervale,sengkang,jul-17,1313,06 to 10,A,900000.0
54377409,http://condo-sg.com/parc-palais-5143,parc palais,condominium,21,hillview,bukit batok,sep-21,1389,01 to 05,A,1810000.0
64749050,,hedges park condominium,condominium,17,flora drive,pasir ris,may-19,484,01 to 05,A,565000.0
18136469,,kingsford waterbay,apartment,19,kangkar,hougang,may-21,678,06 to 10,A,875000.0
46594026,,caribbean at keppel bay,condominium,4,maritime square,bukit merah,mar-17,893,01 to 05,A,1318888.0
83763130,http://condo-sg.com/seaside-residences-4134,seaside residences,apartment,15,siglap,bedok,aug-20,420,11 to 15,A,848000.0
24785617,http://condo-sg.com/d'leedon-9840,d'leedon,condominium,10,farrer court,bukit timah,jan-17,1582,16 to 20,A,2500000.0
89453355,http://condo-sg.com/the-garden-residences-1848,the garden residences,apartment,19,serangoon garden,,dec-19,689,06 to 10,A,1089200.0
34820413,http://condo-sg.com/jadescape-4405,jadescape,condominium,20,upper thomson,bishan,sep-18,775,16 to 20,A,1368000.0
25356590,http://condo-sg.com/parc-esta-7975,parc esta,apartment,14,geylang east,geylang,dec-18,452,06 to 10,A,805000.0
31982699,,jadescape,condominium,20,upper thomson,bishan,sep-18,646,06 to 10,A,1085000.0
67976358,,high park residences,apartment,28,fernvale,sengkang,oct-20,452,06 to 10,A,615000.0
64385315,http://condo-sg.com/the-bayshore-5472,the bayshore,condominium,16,bayshore,bedok,apr-18,947,06 to 10,A,920000.0
71540804,http://condo-sg.com/belmond-green-1489,belmond green,condominium,10,nassim,tanglin,dec-21,1582,01 to 05,A,3400000.0
44337647,,knox view,apartment,15,frankel,bedok,may-20,1109,01 to 05,A,1180000.0
91896117,http://condo-sg.com/santa-fe-mansions-1204,santa fe mansions,apartment,15,mountbatten,marine parade,jan-20,1076,11 to 15,A,1345000.0
