transaction_id,url,name,type,postal_district,subzone,planning_area,date_of_sale,area_sqft,floor_level,eco_category,price
82953057.0,https://condo-sg.com/treasure-at-tampines-5009,treasure at tampines,condominium,18,tampines east,tampines,jul-19,818,06 to 10,A,1024000
17139360.0,https://condo-sg.com/parc-central-residences-4954,parc central residences,executive condominium,18,tampines west,tampines,apr-21,990,11 to 15,A,1187000
80737365.0,https://condo-sg.com/the-pier-at-robertson-1701,the pier at robertson,apartment,9,robertson quay,singapore river,jun-19,1044,06 to 10,A,2400000
83154310.0,https://condo-sg.com/rivercove-residences-1525,rivercove residences,executive condominium,19,anchorvale,sengkang,oct-18,1184,16 to 20,A,1239100
83357871.0,https://condo-sg.com/oue-twin-peaks-7425,oue twin peaks,condominium,9,leonie hill,river valley,mar-17,570,21 to 25,A,1855800
98774323.0,https://condo-sg.com/gem-residences-4789,gem residences,condominium,12,boon teck,toa payoh,jul-21,1249,06 to 10,A,2015000
66259560.0,https://condo-sg.com/wilshire-residences-9956,wilshire residences,apartment,10,tyersall,tanglin,jun-21,1270,11 to 15,A,3448000
25459983.0,https://condo-sg.com/rv-altitude-3083,rv altitude,apartment,9,leonie hill,river valley,dec-20,603,01 to 05,A,1672000
90802666.0,https://condo-sg.com/parc-centros-9358,parc centros,condominium,19,matilda,punggol,jul-21,990,11 to 15,A,1200000
98176896.0,https://condo-sg.com/sol-acres-5198,sol acres,executive condominium,23,keat hong,choa chu kang,aug-17,495,11 to 15,A,402000
14988136.0,https://condo-sg.com/park-colonial-5289,park colonial,condominium,13,woodleigh,toa payoh,jul-19,678,06 to 10,A,1355000
75020289.0,https://condo-sg.com/duo-residences-6031,duo residences,apartment,7,bugis,downtown core,apr-19,420,06 to 10,A,1060000
19030474.0,https://condo-sg.com/parc-esta-2882,parc esta,apartment,14,geylang east,geylang,jun-19,926,06 to 10,A,1468000
90564176.0,https://condo-sg.com/gramercy-park-2023,gramercy park,condominium,10,chatsworth,tanglin,jul-17,2207,11 to 15,A,6311760
79041790.0,https://condo-sg.com/canninghill-piers-5332,canninghill piers,apartment,6,clarke quay,singapore river,nov-21,538,01 to 05,A,1472000
77753998.0,https://condo-sg.com/jervois-regency-3131,jervois regency,apartment,10,chatsworth,tanglin,sep-20,980,01 to 05,A,1520000
24785179.0,https://condo-sg.com/southbank-8535,southbank,apartment,7,crawford,kallang,feb-20,614,16 to 20,A,998000
93887548.0,https://condo-sg.com/isuites-@-palm-2954,isuites @ palm,apartment,19,kovan,hougang,mar-17,463,01 to 05,A,602888
29559226.0,https://condo-sg.com/riviera-residences-7259,riviera residences,condominium,16,bedok south,bedok,feb-17,1324,01 to 05,A,1400000
93814079.0,https://condo-sg.com/normanton-park-8971,normanton park,apartment,5,kent ridge,queenstown,jan-21,764,06 to 10,A,1293376
57022907.0,https://condo-sg.com/forest-woods-6694,forest woods,condominium,19,upper paya lebar,serangoon,feb-21,915,01 to 05,A,1450000
64266327.0,https://condo-sg.com/sengkang-grand-residences-3974,sengkang grand residences,apartment,19,compassvale,sengkang,may-21,764,11 to 15,A,1350400
78386047.0,https://condo-sg.com/leedon-residence-1175,leedon residence,condominium,10,farrer court,bukit timah,may-17,4704,06 to 10,A,9800000
68697432.0,https://condo-sg.com/parc-riviera-4491,parc riviera,condominium,5,west coast,clementi,jun-21,463,11 to 15,A,690000
37633010.0,https://condo-sg.com/dairy-farm-residences-4868,dairy farm residences,apartment,23,dairy farm,bukit panjang,jun-21,624,01 to 05,A,1032600
74259120.0,https://condo-sg.com/treasure-crest-6519,treasure crest,executive condominium,19,anchorvale,sengkang,mar-17,1249,11 to 15,A,894000
62152186.0,https://condo-sg.com/waterbank-at-dakota-9773,waterbank at dakota,condominium,14,aljunied,geylang,mar-21,883,16 to 20,A,1372800
36059653.0,https://condo-sg.com/riverbank-@-fernvale-1554,riverbank @ fernvale,condominium,28,fernvale,sengkang,oct-18,947,06 to 10,A,990000
76776844.0,https://condo-sg.com/15-holland-hill-3312,15 holland hill,apartment,10,leedon park,bukit timah,oct-20,2497,06 to 10,A,7568200
30966558.0,https://condo-sg.com/the-seawind-3742,the seawind,condominium,15,frankel,bedok,apr-18,646,01 to 05,A,1108592
47680177.0,https://condo-sg.com/piermont-grand-9228,piermont grand,executive condominium,19,punggol town centre,punggol,feb-20,1044,01 to 05,A,1098800
55269834.0,https://condo-sg.com/the-madeira-3290,the madeira,condominium,23,hong kah north,bukit batok,may-17,1055,01 to 05,A,905000
39986014.0,https://condo-sg.com/intero-9604,intero,apartment,13,potong pasir,toa payoh,may-18,1012,06 to 10,A,1388000
68982802.0,https://condo-sg.com/azalea-park-condominium-8442,azalea park condominium,condominium,17,flora drive,pasir ris,jul-21,1507,01 to 05,A,1368000
32551128.0,https://condo-sg.com/one-north-residences-7362,one-north residences,apartment,5,one north,queenstown,apr-17,980,01 to 05,A,1300000
62514318.0,https://condo-sg.com/riversails-1368,riversails,condominium,19,hougang east,hougang,apr-18,947,11 to 15,A,960000
38292883.0,https://condo-sg.com/parc-life-2261,parc life,executive condominium,27,sembawang central,sembawang,jan-18,1001,01 to 05,A,791000
98740416.0,https://condo-sg.com/parc-life-7635,parc life,executive condominium,27,sembawang central,sembawang,apr-18,1066,01 to 05,A,949000
31130423.0,https://condo-sg.com/the-clement-canopy-9848,the clement canopy,apartment,5,clementi woods,clementi,sep-17,732,36 to 40,A,1159000
63120538.0,https://condo-sg.com/ecopolitan-2119,ecopolitan,executive condominium,19,matilda,punggol,nov-21,1098,01 to 05,A,1160000
