first user ,second user
0,3752
0,3571
0,3938
0,1033
0,3228
0,432
0,3479
0,3271
0,3554
0,1084
0,767
0,1639
0,87
0,1859
0,3106
0,3497
0,2694
0,3667
0,2966
0,1657
0,2449
0,740
0,2046
0,110
0,3790
0,3106
0,3076
0,2853
0,3508
0,3045
0,266
0,2179
0,2135
0,3729
0,1469
0,466
0,3874
0,458
0,210
0,1756
0,72
0,3485
0,398
0,3462
0,1789
0,255
0,1810
0,252
0,1720
0,2301
0,1074
0,2066
0,782
0,2065
0,2960
0,2152
0,3828
0,2538
0,1052
0,2196
0,2033
0,1406
0,470
0,3670
0,3540
0,601
0,1395
0,1288
0,1043
0,1119
0,4016
0,2051
0,3027
0,2244
0,3542
0,64
0,1695
0,1713
0,3804
0,334
0,1076
0,1154
0,2340
0,1716
0,1780
0,1846
0,1329
0,826
0,1714
0,2863
0,441
0,1255
0,3828
0,3304
0,724
0,1994
0,2339
0,1898
0,212
0,321
0,2305
0,3586
0,141
0,1464
0,1160
0,2270
0,3312
0,3490
0,439
0,641
0,2093
0,3812
0,2627
0,3686
0,3177
0,1461
0,1382
0,359
0,149
0,1709
0,23
0,3031
0,2016
0,2188
0,9
0,1990
0,426
0,2229
0,399
0,1625
0,1399
0,2852
0,3292
0,149
0,462
0,903
0,3795
0,824
0,2581
0,686
0,1276
0,2180
0,3537
0,335
0,1285
0,1585
0,1353
0,2976
0,3397
0,2594
0,422
0,642
0,72
0,1508
0,1955
0,1965
0,2854
0,1921
0,701
0,143
0,1942
0,1224
0,2180
0,2500
0,205
0,1821
0,1508
0,3917
0,9
0,3313
0,92
0,3384
0,2703
0,2945
0,2562
0,3883
0,292
0,7
0,158
0,3294
0,1764
0,55
0,3371
0,1307
0,406
0,2890
0,658
0,1436
0,1588
0,1550
0,840
0,911
0,3542
0,3206
0,1032
0,1976
0,1478
0,2319
0,1038
0,1087
0,3194
0,450
0,3533
0,1193
0,3559
0,3657
0,984
0,1749
0,275
0,131
0,2729
0,2455
0,3631
0,2763
0,2724
0,2649
0,199
0,1300
0,1585
0,425
0,2424
0,321
0,2529
0,1158
0,91
0,1353
0,543
0,2135
0,2201
0,1867
0,4014
0,3436
0,3262
0,208
0,693
0,1725
0,172
0,690
0,924
0,3344
0,2173
0,1874
0,3986
0,933
0,2589
0,3617
0,297
0,435
0,1959
0,1462
0,712
0,2044
0,771
0,1669
0,2871
0,1629
0,1819
0,2466
0,627
0,1549
0,667
0,3832
0,22
0,616
0,3722
0,910
0,2075
0,4009
0,3856
0,3662
0,1986
0,2378
0,955
0,1228
0,497
0,326
0,3315
0,1816
0,193
0,831
0,422
0,3702
0,3826
0,732
0,3219
0,1981
0,3561
0,2518
0,721
0,1058
0,2341
0,1383
0,1718
0,2732
0,1429
0,2085
0,2572
0,2397
0,3992
0,2104
0,3489
0,1965
0,3472
0,3207
0,537
0,879
0,3981
0,1158
0,200
0,618
0,135
0,2202
0,3993
0,1060
0,1077
0,2905
0,4016
0,2247
0,2549
0,3963
0,530
0,317
0,321
0,3833
0,3980
0,1979
0,258
0,3800
0,4006
0,441
0,2746
0,2529
0,805
0,1235
0,3260
0,1294
0,1020
0,2840
0,3498
0,2659
0,2186
0,735
0,598
0,88
0,928
0,1459
0,1416
1,3621
1,1445
